n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score_1,optimal_score_1,n_claims_1,TwoEstimates_time_1,TwoEstimates_score_perc_1,TwoEstimates_score_1,optimal_perc_score_2,optimal_score_2,n_claims_2,TwoEstimates_time_2,TwoEstimates_score_perc_2,TwoEstimates_score_2,optimal_perc_score_3,optimal_score_3,n_claims_3,TwoEstimates_time_3,TwoEstimates_score_perc_3,TwoEstimates_score_3,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score,optimal_perc_score,optimal_score,n_claims
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,100,44337,2.066056792,0.0,0,1.0,100,43692,2.9819975,0.0,0,1.0,100,44260,3.3143105000000004,0.0,0,2.787454930666667,0.0,0.0,1.0,100.0,44096.333333333336
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncExponential,1.0,100,43576,3.047189792,0.0,0,1.0,100,43914,2.9191284589999995,0.0,0,1.0,100,43318,3.208893875,0.0,0,3.058404042,0.0,0.0,1.0,100.0,43602.666666666664
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,Uniform,1.0,100,43864,2.879496624999999,0.0,0,1.0,100,43992,2.948809917,0.0,0,1.0,100,44282,2.084946499999999,0.0,0,2.6377510139999996,0.0,0.0,1.0,100.0,44046.0
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncExponential,1.0,100,43938,2.8040910419999996,0.0,0,1.0,100,43282,2.8120235419999986,0.0,0,1.0,100,44417,2.9811309159999997,0.0,0,2.865748499999999,0.0,0.0,1.0,100.0,43879.0
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncPareto,1.0,100,43694,2.7711465000000004,0.0,0,1.0,100,44333,2.792358082999998,0.0,0,1.0,100,43757,2.879255292,0.0,0,2.8142532916666663,0.0,0.0,1.0,100.0,43928.0
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,100,44466,2.9800562920000004,0.0,0,1.0,100,44290,2.981945500000002,0.0,0,1.0,100,43939,2.9432079169999987,0.0,0,2.9684032363333337,0.0,0.0,1.0,100.0,44231.666666666664
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncExponential,1.0,100,43756,2.9431602920000017,0.0,0,1.0,100,43762,2.856750667,0.0,0,1.0,100,44462,3.1254504999999995,0.0,0,2.9751204863333336,0.0,0.0,1.0,100.0,43993.333333333336
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,Uniform,1.0,100,44161,2.907820082999997,0.0,0,1.0,100,44138,2.743660417000001,0.0,0,1.0,100,44116,2.995605458,0.0,0,2.8823619859999994,0.0,0.0,1.0,100.0,44138.333333333336
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncExponential,1.0,100,43827,2.667325541999997,0.0,0,1.0,100,43962,2.7493168750000017,0.0,0,1.0,100,43618,2.887377291,0.0,0,2.7680065693333327,0.0,0.0,1.0,100.0,43802.333333333336
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncPareto,1.0,100,44123,2.6606401670000004,0.0,0,1.0,100,44110,2.6844600829999976,0.0,0,1.0,100,44261,2.7939524590000033,0.0,0,2.713017569666667,0.0,0.0,1.0,100.0,44164.666666666664
