n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score_1,optimal_score_1,n_claims_1,Majority_time_1,Majority_score_perc_1,Majority_score_1,TruthFinder_time_1,TruthFinder_score_perc_1,TruthFinder_score_1,TwoEstimates_time_1,TwoEstimates_score_perc_1,TwoEstimates_score_1,ThreeEstimates_time_1,ThreeEstimates_score_perc_1,ThreeEstimates_score_1,optimal_perc_score_2,optimal_score_2,n_claims_2,Majority_time_2,Majority_score_perc_2,Majority_score_2,TruthFinder_time_2,TruthFinder_score_perc_2,TruthFinder_score_2,TwoEstimates_time_2,TwoEstimates_score_perc_2,TwoEstimates_score_2,ThreeEstimates_time_2,ThreeEstimates_score_perc_2,ThreeEstimates_score_2,optimal_perc_score_3,optimal_score_3,n_claims_3,Majority_time_3,Majority_score_perc_3,Majority_score_3,TruthFinder_time_3,TruthFinder_score_perc_3,TruthFinder_score_3,TwoEstimates_time_3,TwoEstimates_score_perc_3,TwoEstimates_score_3,ThreeEstimates_time_3,ThreeEstimates_score_perc_3,ThreeEstimates_score_3,Majority_time,Majority_score_perc,Majority_score,TruthFinder_time,TruthFinder_score_perc,TruthFinder_score,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score,ThreeEstimates_time,ThreeEstimates_score_perc,ThreeEstimates_score,optimal_perc_score,optimal_score,n_claims
100,500,5,TruncPareto,Uniform,TruncPareto,TruncExponential,1.0,500,6091,0.0647441249998337,0.552,276,0.3625515419998919,0.552,276,1.2587920839998787,0.486,243,2.274081583999987,0.576,288,1.0,500,6369,0.0640925420000257,0.624,312,0.3589141659999768,0.626,313,1.231176083000037,0.422,211,2.2125040830001126,0.674,337,0.998,499,5694,0.061214542000016,0.506,253,0.3457526249999318,0.496,248,1.1841717079998944,0.506,253,2.121294750000061,0.48,240,0.06335040299995846,0.5606666666666668,280.3333333333333,0.3557394443332669,0.5579999999999999,279.0,1.2247132916666033,0.4713333333333333,235.66666666666666,2.20262680566672,0.5766666666666667,288.3333333333333,0.9993333333333334,499.6666666666667,6051.333333333333
100,500,5,TruncPareto,TruncExponential,F_TruncPareto,TruncExponential,0.988,494,6318,0.0657377499999256,0.174,87,0.4729290000000219,0.176,88,1.7957721669999955,0.296,148,3.2211699580000186,0.152,76,0.966,483,6105,0.0640897499999937,0.186,93,0.4585330830000202,0.178,89,1.7559635000000071,0.34,170,3.1504592499998125,0.152,76,0.974,487,8136,0.0627297920000273,0.072,36,0.4546648339999137,0.068,34,1.7470643340000152,0.302,151,3.130254333000039,0.044,22,0.0641857639999822,0.144,72.0,0.462042305666652,0.14066666666666666,70.33333333333333,1.766266667000006,0.31266666666666665,156.33333333333334,3.1672945136666235,0.11599999999999999,58.0,0.976,488.0,6853.0
100,500,5,TruncPareto,TruncExponential,F_TruncExponential,TruncExponential,0.846,423,5307,0.0635739580000063,0.038,19,0.4275906249999934,0.036,18,1.576184708000028,0.428,214,2.8444700420000117,0.038,19,0.976,488,6241,0.0636309159999655,0.118,59,0.4318734579999272,0.114,57,1.6160637920002046,0.494,247,2.8954241669998737,0.118,59,0.902,451,6202,0.0622595830000136,0.07,35,0.4164142919998994,0.068,34,1.5606627909999131,0.428,214,2.833526582999866,0.06,30,0.06315481899999513,0.07533333333333334,37.666666666666664,0.42529279166660666,0.07266666666666667,36.333333333333336,1.5843037636667152,0.44999999999999996,225.0,2.857806930666584,0.072,36.0,0.908,454.0,5916.666666666667
100,500,5,TruncPareto,TruncExponential,Uniform,TruncExponential,0.914,457,7017,0.0647307919998638,0.004,2,0.4009535829998185,0.002,1,1.4161735000000135,0.634,317,2.6312343750000764,0.01,5,0.958,479,6223,0.0647678329999053,0.072,36,0.39207608300012,0.078,39,1.3877921659998265,0.658,329,2.5076352080000106,0.046,23,0.962,481,6061,0.0613967920000959,0.054,27,0.3777948339998147,0.07,35,1.3572865419998834,0.638,319,2.451673041000049,0.05,25,0.06363180566662167,0.043333333333333335,21.666666666666668,0.3902748333332511,0.05000000000000001,25.0,1.3870840693332411,0.6433333333333334,321.6666666666667,2.530180874666712,0.035333333333333335,17.666666666666668,0.9446666666666665,472.3333333333333,6433.666666666667
100,500,5,TruncPareto,TruncExponential,TruncExponential,TruncExponential,0.96,480,5777,0.0669923329999164,0.062,31,0.3677666250000584,0.058,29,1.2621094579999408,0.82,410,2.356757792000053,0.052,26,0.972,486,6884,0.0641794160001154,0.034,17,0.3648164589999396,0.028,14,1.2566832919999342,0.816,408,2.2545335840000007,0.022,11,0.99,495,7402,0.0620657919998848,0.028,14,0.3537620409999817,0.028,14,1.2252700829999412,0.836,418,2.1898612499999217,0.022,11,0.06441251366663887,0.04133333333333333,20.666666666666668,0.3621150416666599,0.038,19.0,1.2480209443332722,0.824,412.0,2.267050875333325,0.032,16.0,0.9739999999999999,487.0,6687.666666666667
100,500,5,TruncPareto,TruncExponential,TruncPareto,TruncExponential,0.914,457,5627,0.064103040999953,0.014,7,0.3646024170000146,0.018,9,1.2158910830000875,0.78,390,110.44168216699995,0.018,9,0.956,478,7428,0.0637552499999856,0.006,3,0.357303666000007,0.008,4,1.220645957999977,0.85,425,5.3818619999999555,0.014,7,0.892,446,5022,0.0608919579999565,0.012,6,0.3354463749999468,0.016,8,1.6959173340001144,0.812,406,100.2331917089998,0.856,428,0.0629167496666317,0.010666666666666666,5.333333333333333,0.35245081933332284,0.013999999999999999,7.0,1.3774847916667265,0.8140000000000001,407.0,72.01891195866658,0.296,148.0,0.9206666666666666,460.3333333333333,6025.666666666667
100,500,5,TruncPareto,TruncPareto,F_TruncPareto,TruncExponential,0.764,382,5863,0.067283209000152,0.014,7,0.4605670000000827,0.02,10,1.7254098750001958,0.388,194,3.0842112919999636,0.04,20,0.828,414,6557,0.0640990839999631,0.014,7,0.4495327500001167,0.01,5,1.7113768330000312,0.458,229,3.042617749999863,0.032,16,0.92,460,6011,0.0615966670000034,0.044,22,0.442240166999909,0.048,24,1.6737461660000008,0.494,247,3.019520625000041,0.06,30,0.0643263200000395,0.023999999999999997,12.0,0.45077997233336947,0.026,13.0,1.703510958000076,0.4466666666666667,223.33333333333334,3.0487832223332894,0.044000000000000004,22.0,0.8373333333333334,418.6666666666667,6143.666666666667
100,500,5,TruncPareto,TruncPareto,F_TruncExponential,TruncExponential,0.724,362,6371,0.0649467920000006,0.004,2,0.5763634580000598,0.008,4,1.7640186250000625,0.432,216,3.0147911250001016,0.026,13,0.742,371,5425,0.0639108329999089,0.016,8,0.4138260419999824,0.018,9,1.528726459000154,0.412,206,2.7574336669999866,0.038,19,0.884,442,6891,0.0613092910000432,0.008,4,0.4182860000000801,0.006,3,1.5559802499999478,0.486,243,2.789545624999846,0.018,9,0.06338897199998424,0.009333333333333334,4.666666666666667,0.46949183333337413,0.010666666666666666,5.333333333333333,1.6162417780000549,0.44333333333333336,221.66666666666666,2.8539234723333116,0.027333333333333334,13.666666666666666,0.7833333333333333,391.6666666666667,6229.0
100,500,5,TruncPareto,TruncPareto,Uniform,TruncExponential,0.762,381,6164,0.0655889580000348,0.0,0,0.3785882499998934,0.0,0,1.3246296660001915,0.602,301,2.402886542000033,0.006,3,0.836,418,5283,0.0770578750000368,0.008,4,0.3783123329999398,0.008,4,1.3310342499999024,0.65,325,2.395696374999943,0.016,8,0.756,378,5613,0.0621953330000906,0.006,3,0.3622232079999321,0.004,2,1.2629468749998978,0.588,294,2.2747349579999536,0.01,5,0.06828072200005407,0.004666666666666667,2.3333333333333335,0.37304126366658846,0.004,2.0,1.3062035969999972,0.6133333333333333,306.6666666666667,2.3577726249999764,0.010666666666666666,5.333333333333333,0.7846666666666667,392.3333333333333,5686.666666666667
100,500,5,TruncPareto,TruncPareto,TruncExponential,TruncExponential,0.846,423,6373,0.0648224159999699,0.006,3,0.392417124999838,0.004,2,1.4128725000000486,0.79,395,2.2644871249999596,0.006,3,0.798,399,6520,0.063753915999996,0.0,0,0.3491146670000944,0.0,0,1.7352699590001066,0.75,375,103.07740458400008,0.002,1,0.864,432,6331,0.0620750830000815,0.004,2,0.3423707499998727,0.004,2,1.1743957500000306,0.782,391,5.123401040999852,0.836,418,0.06355047166668247,0.0033333333333333335,1.6666666666666667,0.3613008473332684,0.0026666666666666666,1.3333333333333333,1.4408460696667287,0.774,387.0,36.821764249999966,0.2813333333333333,140.66666666666666,0.836,418.0,6408.0
