n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score_1,optimal_score_1,n_claims_1,TwoEstimates_time_1,TwoEstimates_score_perc_1,TwoEstimates_score_1,optimal_perc_score_2,optimal_score_2,n_claims_2,TwoEstimates_time_2,TwoEstimates_score_perc_2,TwoEstimates_score_2,optimal_perc_score_3,optimal_score_3,n_claims_3,TwoEstimates_time_3,TwoEstimates_score_perc_3,TwoEstimates_score_3,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score,optimal_perc_score,optimal_score,n_claims
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,500,43099,3.712070542,0.016,8,1.0,500,43677,3.570823333,0.052,26,1.0,500,43663,4.394177209,1.0,500,3.8923570280000006,0.35600000000000004,178.0,1.0,500.0,43479.666666666664
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncExponential,1.0,500,44226,3.754301333,0.014,7,1.0,500,43805,2.897971332999999,0.01,5,1.0,500,42893,3.4880682499999995,0.034,17,3.3801136386666664,0.019333333333333334,9.666666666666666,1.0,500.0,43641.333333333336
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,Uniform,1.0,500,44088,3.4088457499999993,0.044,22,1.0,500,43542,3.347920083,0.046,23,1.0,500,44453,3.523284499999999,0.024,12,3.426683444333333,0.038,19.0,1.0,500.0,44027.666666666664
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncExponential,1.0,500,42239,3.5075179169999995,0.04,20,1.0,500,43648,3.939082666999999,0.07,35,1.0,500,44605,3.583604042000001,0.02,10,3.676734875333333,0.043333333333333335,21.666666666666668,1.0,500.0,43497.333333333336
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncPareto,1.0,500,43730,4.199837959,0.032,16,1.0,500,44614,7.723712875,0.01,5,1.0,500,42854,2.5759444589999987,0.03,15,4.833165097666666,0.024000000000000004,12.0,1.0,500.0,43732.666666666664
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,500,44947,4.162169584000001,0.054,27,1.0,500,43928,3.3823662500000005,0.032,16,1.0,500,44146,3.618602666000001,0.02,10,3.7210461666666674,0.035333333333333335,17.666666666666668,1.0,500.0,44340.333333333336
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncExponential,1.0,500,44316,4.482638167000001,0.006,3,1.0,500,44710,21.768083708,0.046,23,1.0,500,43783,6.054041708,0.032,16,10.768254527666665,0.027999999999999997,14.0,1.0,500.0,44269.666666666664
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,Uniform,1.0,500,43067,3.705898708999996,0.02,10,1.0,500,43115,4.052777292000002,0.036,18,1.0,500,44856,86.929314875,1.0,500,31.562663625333332,0.35200000000000004,176.0,1.0,500.0,43679.333333333336
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncExponential,1.0,500,43679,4.2512304159999985,0.034,17,1.0,500,43854,4.2918396250000015,0.014,7,1.0,500,42379,3.2910103330000027,0.032,16,3.944693458000001,0.02666666666666667,13.333333333333334,1.0,500.0,43304.0
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncPareto,1.0,500,44547,4.365993416000002,0.008,4,1.0,500,42566,3.820828583000008,0.064,32,1.0,500,43602,4.011474415999999,0.062,31,4.066098805000003,0.04466666666666667,22.333333333333332,1.0,500.0,43571.666666666664
