n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score_1,optimal_score_1,n_claims_1,TwoEstimates_time_1,TwoEstimates_score_perc_1,TwoEstimates_score_1,optimal_perc_score_2,optimal_score_2,n_claims_2,TwoEstimates_time_2,TwoEstimates_score_perc_2,TwoEstimates_score_2,optimal_perc_score_3,optimal_score_3,n_claims_3,TwoEstimates_time_3,TwoEstimates_score_perc_3,TwoEstimates_score_3,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score,optimal_perc_score,optimal_score,n_claims
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,100,44030,1.992960709,0.0,0,1.0,100,43914,1.996711291,0.0,0,1.0,100,43545,1.860111667,0.0,0,1.9499278890000002,0.0,0.0,1.0,100.0,43829.666666666664
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncExponential,1.0,100,44232,2.097801834,0.0,0,1.0,100,43856,1.999441584,0.0,0,1.0,100,44177,1.876970459,0.0,0,1.9914046256666664,0.0,0.0,1.0,100.0,44088.333333333336
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,Uniform,1.0,100,43893,1.966826666,0.0,0,1.0,100,43828,2.0098508330000007,0.0,0,1.0,100,43738,1.825560917000001,0.0,0,1.9340794720000005,0.0,0.0,1.0,100.0,43819.666666666664
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncExponential,1.0,100,44115,1.9937195,0.0,0,1.0,100,44241,1.9545150410000005,0.0,0,1.0,100,44005,2.463244083,0.0,0,2.1371595413333337,0.0,0.0,1.0,100.0,44120.333333333336
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncPareto,1.0,100,43569,1.9541440420000011,0.0,0,1.0,100,44087,1.9629069579999996,0.0,0,1.0,100,44020,2.022644916000001,0.0,0,1.9798986386666673,0.0,0.0,1.0,100.0,43892.0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,100,44200,2.600506083000001,0.0,0,1.0,100,44275,1.977259791,0.0,0,1.0,100,43382,2.043396583,0.0,0,2.2070541523333334,0.0,0.0,1.0,100.0,43952.333333333336
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncExponential,1.0,100,44318,2.6200078750000007,0.0,0,1.0,100,44226,1.893753875,0.0,0,1.0,100,44004,1.9697700000000005,0.0,0,2.16117725,0.0,0.0,1.0,100.0,44182.666666666664
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,Uniform,1.0,100,43745,2.540027833,0.0,0,1.0,100,43972,2.610286792,0.0,0,1.0,100,43999,2.6452343749999976,0.0,0,2.5985163333333325,0.0,0.0,1.0,100.0,43905.333333333336
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncExponential,1.0,100,43941,2.5835658330000015,0.0,0,1.0,100,44039,1.9247448329999983,0.0,0,1.0,100,44055,2.693697457999999,0.0,0,2.4006693746666663,0.0,0.0,1.0,100.0,44011.666666666664
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncPareto,1.0,100,44344,2.5657063340000015,0.0,0,1.0,100,43756,2.5342667500000005,0.0,0,1.0,100,43481,2.544901124999999,0.0,0,2.5482914030000003,0.0,0.0,1.0,100.0,43860.333333333336
