n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score_1,optimal_score_1,n_claims_1,Majority_time_1,Majority_score_perc_1,Majority_score_1,TruthFinder_time_1,TruthFinder_score_perc_1,TruthFinder_score_1,TwoEstimates_time_1,TwoEstimates_score_perc_1,TwoEstimates_score_1,ThreeEstimates_time_1,ThreeEstimates_score_perc_1,ThreeEstimates_score_1,optimal_perc_score_2,optimal_score_2,n_claims_2,Majority_time_2,Majority_score_perc_2,Majority_score_2,TruthFinder_time_2,TruthFinder_score_perc_2,TruthFinder_score_2,TwoEstimates_time_2,TwoEstimates_score_perc_2,TwoEstimates_score_2,ThreeEstimates_time_2,ThreeEstimates_score_perc_2,ThreeEstimates_score_2,optimal_perc_score_3,optimal_score_3,n_claims_3,Majority_time_3,Majority_score_perc_3,Majority_score_3,TruthFinder_time_3,TruthFinder_score_perc_3,TruthFinder_score_3,TwoEstimates_time_3,TwoEstimates_score_perc_3,TwoEstimates_score_3,ThreeEstimates_time_3,ThreeEstimates_score_perc_3,ThreeEstimates_score_3,Majority_time,Majority_score_perc,Majority_score,TruthFinder_time,TruthFinder_score_perc,TruthFinder_score,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score,ThreeEstimates_time,ThreeEstimates_score_perc,ThreeEstimates_score,optimal_perc_score,optimal_score,n_claims,n_claims_10k,Maj-Tru,Maj-Two,Maj-Thr,Tru-Two,Tru-Thr,Two-Thr,Majority_score_perc_max,Majority_score_perc_min,TruthFinder_score_perc_max,TruthFinder_score_perc_min,TwoEstimates_score_perc_max,TwoEstimates_score_perc_min,ThreeEstimates_score_perc_max,ThreeEstimates_score_perc_min,Majority_score_perc_diff,TruthFinder_score_perc_diff,TwoEstimates_score_perc_diff,ThreeEstimates_score_perc_diff,win_Majority,win_TruthFinder,win_TwoEstimates,win_ThreeEstimates,_agg_total
100,500,5,F_TruncPareto,Uniform,F_TruncPareto,F_TruncPareto,1.0,500,43488,0.0715395830000034,0.98,490,0.5481813340000059,0.98,490,4.478205250000002,0.016,8,4.077917416999995,0.964,482,1.0,500,43476,0.0697123340000018,0.944,472,0.525883874999991,0.946,473,4.236533500000007,0.042,21,3.789712832999996,0.946,473,1.0,500,44532,0.0715376670000011,0.982,491,0.5364257909999992,0.982,491,4.324320999999998,0.01,5,3.8761209589999903,0.984,492,0.0709298613333354,0.9686666666666666,484.3333333333333,0.5368303333333321,0.9693333333333332,484.6666666666667,4.346353250000003,0.0226666666666666,11.333333333333334,3.914583736333327,0.9646666666666668,482.3333333333333,1.0,500.0,43832.0,40000.0,-0.0006666666666665932,0.946,0.0039999999999997815,0.9466666666666665,0.004666666666666375,-0.9420000000000002,0.982,0.944,0.982,0.946,0.042,0.01,0.984,0.946,0.038000000000000034,0.03600000000000003,0.032,0.038000000000000034,False,True,False,False,1
100,500,5,F_TruncPareto,Uniform,F_TruncExponential,F_TruncPareto,1.0,500,44275,0.0733642920000079,0.968,484,0.5242583339999953,0.966,483,4.303420166999999,0.008,4,8.581292875000003,0.966,483,1.0,500,43186,0.0701454160000025,0.868,434,0.4987031249999916,0.868,434,3.965682750000014,0.084,42,3.494499708999996,0.868,434,1.0,500,43904,0.0701685420000046,0.772,386,0.5042316250000027,0.774,387,4.002118374999995,0.182,91,3.562858165999998,0.758,379,0.0712260833333383,0.8693333333333332,434.6666666666667,0.5090643613333299,0.8693333333333334,434.6666666666667,4.090407097333336,0.0913333333333333,45.666666666666664,5.2128835833333325,0.864,432.0,1.0,500.0,43788.333333333336,40000.0,-2.220446049250313e-16,0.7779999999999999,0.00533333333333319,0.7780000000000001,0.005333333333333412,-0.7726666666666667,0.968,0.772,0.966,0.774,0.182,0.008,0.966,0.758,0.19599999999999995,0.19199999999999995,0.174,0.20799999999999996,True,True,False,False,1
100,500,5,F_TruncPareto,Uniform,Uniform,F_TruncPareto,1.0,500,43265,0.0740069579999982,0.508,254,0.5020848329999978,0.508,254,3.1367288329999923,0.422,211,3.3025601249999994,0.506,253,1.0,500,43850,0.070651416000004,0.81,405,0.4397255830000119,0.82,410,4.125803417000014,0.088,44,2.970238082999998,0.832,416,1.0,500,43889,0.0702531670000041,0.58,290,0.4407286250000055,0.578,289,4.957071791999994,0.268,134,2.958420208000007,0.584,292,0.0716371803333354,0.6326666666666667,316.3333333333333,0.4608463470000051,0.6353333333333332,317.6666666666667,4.073201347333334,0.2593333333333333,129.66666666666666,3.077072805333335,0.6406666666666667,320.3333333333333,1.0,500.0,43668.0,40000.0,-0.002666666666666484,0.3733333333333334,-0.008000000000000007,0.3759999999999999,-0.005333333333333523,-0.3813333333333334,0.81,0.508,0.82,0.508,0.422,0.088,0.832,0.506,0.30200000000000005,0.31199999999999994,0.33399999999999996,0.32599999999999996,False,False,False,True,1
100,500,5,F_TruncPareto,Uniform,TruncExponential,F_TruncPareto,1.0,500,43972,0.0781103340000015,0.494,247,0.4157458749999989,0.52,260,2.9675125830000013,0.48,240,5.832222790999992,0.48,240,1.0,500,44191,0.070547624999989,0.55,275,0.3942172909999897,0.554,277,2.8512941670000203,0.526,263,3.749531125000004,0.468,234,1.0,500,44133,0.0705894999999969,0.882,441,0.3964094579999937,0.868,434,6.399555584000012,0.844,422,5.05574104199998,0.836,418,0.0730824863333291,0.642,321.0,0.4021242079999941,0.6473333333333334,323.6666666666667,4.072787444666678,0.6166666666666667,308.3333333333333,4.879164985999992,0.5946666666666666,297.3333333333333,1.0,500.0,44098.666666666664,40000.0,-0.005333333333333412,0.02533333333333332,0.04733333333333345,0.03066666666666673,0.05266666666666686,0.02200000000000013,0.882,0.494,0.868,0.52,0.844,0.48,0.836,0.468,0.388,0.348,0.364,0.36799999999999994,False,True,False,False,1
100,500,5,F_TruncPareto,Uniform,TruncPareto,F_TruncPareto,1.0,500,44337,0.0718619170000067,0.248,124,0.4052420419999976,0.274,137,11.24513825000001,0.004,2,5.613924457999985,0.644,322,1.0,500,43138,0.0707430829999964,0.372,186,0.3857947920000129,0.364,182,4.781750750000015,0.886,443,2.451486541999998,0.36,180,1.0,500,42780,0.0697152499999731,0.746,373,0.3853344169999957,0.748,374,3.443680709000006,0.104,52,1.266757124999998,0.748,374,0.0707734166666587,0.4553333333333333,227.66666666666663,0.3921237503333354,0.462,231.0,6.490189903000011,0.3313333333333333,165.66666666666666,3.110722708333327,0.584,292.0,1.0,500.0,43418.333333333336,40000.0,-0.00666666666666671,0.124,-0.12866666666666665,0.1306666666666667,-0.12199999999999994,-0.25266666666666665,0.746,0.248,0.748,0.274,0.886,0.004,0.748,0.36,0.498,0.474,0.882,0.388,False,False,False,True,1
100,500,5,F_TruncPareto,TruncExponential,F_TruncPareto,F_TruncPareto,1.0,500,44612,0.0711739160000206,0.136,68,0.5742511250000177,0.128,64,7.088002124999974,0.134,67,4.155799540999993,0.108,54,1.0,500,43468,0.0699929999999824,0.042,21,0.5258211250000215,0.038,19,4.227404542000016,0.6,300,3.79723066599999,0.06,30,1.0,500,44845,0.0731254160000105,0.114,57,0.5448836250000113,0.114,57,28.97760479199999,0.412,206,3.8709019579999904,0.09,45,0.0714307773333378,0.0973333333333333,48.666666666666664,0.5483186250000168,0.0933333333333333,46.666666666666664,13.431003819666662,0.3819999999999999,191.0,3.941310721666658,0.086,43.0,1.0,500.0,44308.333333333336,40000.0,0.0040000000000000036,-0.2846666666666666,0.011333333333333306,-0.2886666666666666,0.007333333333333303,0.29599999999999993,0.136,0.042,0.128,0.038,0.6,0.134,0.108,0.06,0.094,0.09,0.46599999999999997,0.048,False,False,True,False,1
100,500,5,F_TruncPareto,TruncExponential,F_TruncExponential,F_TruncPareto,1.0,500,43436,0.0711784169999987,0.06,30,0.5143984169999953,0.06,30,4.277690791999987,0.648,324,3.741486624999993,0.05,25,1.0,500,44272,0.0711009579999881,0.046,23,0.50195875,0.036,18,3.976955250000003,0.61,305,3.543900291,0.05,25,1.0,500,43130,0.0707243330000153,0.226,113,0.5020807919999868,0.224,112,3.977379374999998,0.402,201,3.5350835419999953,0.178,89,0.0710012360000007,0.1106666666666666,55.333333333333336,0.5061459863333274,0.1066666666666666,53.333333333333336,4.077341805666663,0.5533333333333333,276.6666666666667,3.606823485999996,0.0926666666666666,46.333333333333336,1.0,500.0,43612.666666666664,40000.0,0.00399999999999999,-0.44266666666666676,0.017999999999999988,-0.44666666666666677,0.013999999999999999,0.4606666666666667,0.226,0.046,0.224,0.036,0.648,0.402,0.178,0.05,0.18,0.188,0.246,0.128,False,False,True,False,1
100,500,5,F_TruncPareto,TruncExponential,Uniform,F_TruncPareto,1.0,500,44130,0.0731246670000018,0.056,28,0.4557415830000195,0.05,25,6.918537291999996,0.844,422,3.201822582999995,0.05,25,1.0,500,44709,0.070184791999992,0.01,5,0.4367182500000126,0.01,5,4.119216416,0.886,443,2.9544222910000144,0.032,16,1.0,500,44126,0.0705845419999775,0.022,11,0.4355970830000046,0.02,10,7.359395583000008,0.886,443,2.944473208000005,0.034,17,0.0712980003333237,0.0293333333333333,14.666666666666666,0.4426856386666788,0.0266666666666666,13.333333333333334,6.132383097000002,0.872,436.0,3.033572694000005,0.0386666666666666,19.333333333333332,1.0,500.0,44321.666666666664,40000.0,0.0026666666666667026,-0.8426666666666667,-0.009333333333333298,-0.8453333333333334,-0.012,0.8333333333333334,0.056,0.01,0.05,0.01,0.886,0.844,0.05,0.032,0.046,0.04,0.04200000000000004,0.018000000000000002,False,False,True,False,1
100,500,5,F_TruncPareto,TruncExponential,TruncExponential,F_TruncPareto,1.0,500,42839,0.0786157500000115,0.006,3,0.4620128749999992,0.006,3,5.166213499999998,0.982,491,2.6302869170000065,0.004,2,1.0,500,42596,0.0701452080000137,0.002,1,0.3915995830000156,0.0,0,5.5187554999999975,0.996,498,2.520478749999995,0.008,4,1.0,500,44549,0.0701231250000091,0.006,3,0.3977854590000049,0.008,4,5.722858500000001,0.986,493,2.55650670899999,0.004,2,0.0729613610000114,0.0046666666666666,2.3333333333333335,0.4171326390000066,0.0046666666666666,2.3333333333333335,5.469275833333332,0.988,494.0,2.5690907919999972,0.0053333333333333,2.6666666666666665,1.0,500.0,43328.0,40000.0,0.0,-0.9833333333333334,-0.0006666666666666999,-0.9833333333333334,-0.0006666666666666999,0.9826666666666667,0.006,0.002,0.008,0.0,0.996,0.982,0.008,0.004,0.004,0.008,0.014000000000000012,0.004,False,False,True,False,1
100,500,5,F_TruncPareto,TruncExponential,TruncPareto,F_TruncPareto,1.0,500,43810,0.0727815410000118,0.0,0,0.3999170419999984,0.0,0,8.652642499999985,0.998,499,2.558574749999991,0.0,0,1.0,500,42803,0.0702044169999851,0.0,0,0.3858875829999988,0.0,0,5.476784834,0.998,499,2.4638904580000087,0.002,1,1.0,500,42917,0.0706843330000026,0.002,1,0.3879042089999984,0.002,1,2.0804987079999933,0.99,495,2.479042750000019,0.0,0,0.0712234303333331,0.0006666666666666,0.3333333333333333,0.3912362779999985,0.0006666666666666,0.3333333333333333,5.403308680666659,0.9953333333333332,497.6666666666667,2.500502652666673,0.0006666666666666,0.3333333333333333,1.0,500.0,43176.666666666664,40000.0,0.0,-0.9946666666666666,0.0,-0.9946666666666666,0.0,0.9946666666666666,0.002,0.0,0.002,0.0,0.998,0.99,0.002,0.0,0.002,0.002,0.008000000000000007,0.002,False,False,True,False,1
