n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score,optimal_score,n_claims,iteration_index,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,100,43914,0,1.996711291,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncExponential,1.0,100,43856,1,1.999441584,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,Uniform,1.0,100,43828,2,2.0098508330000007,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncExponential,1.0,100,44241,3,1.9545150410000005,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncPareto,1.0,100,44087,4,1.9629069579999996,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,100,44275,5,1.9772597909999998,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncExponential,1.0,100,44226,6,1.8937538749999998,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,Uniform,1.0,100,43972,7,2.610286792,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncExponential,1.0,100,44039,8,1.9247448329999983,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncPareto,1.0,100,43756,9,2.5342667500000005,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncPareto,1.0,100,43786,10,3.0652128330000004,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncExponential,1.0,100,44013,11,1.8404939169999999,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,Uniform,Uniform,1.0,100,44498,12,2.4449690000000004,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,Uniform,TruncExponential,1.0,100,43976,13,3.0590776660000003,0.0,0
