n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score,optimal_score,n_claims,iteration_index,Majority_time,Majority_score_perc,Majority_score,TruthFinder_time,TruthFinder_score_perc,TruthFinder_score,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score,ThreeEstimates_time,ThreeEstimates_score_perc,ThreeEstimates_score
100,500,5,F_TruncPareto,F_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,500,45389,0,0.07248241700000002,1.0,500,0.5476506669999999,1.0,500,7.662674459,0.0,0,3.915653958,1.0,500
100,500,5,F_TruncPareto,F_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,500,44075,1,0.07224629200000088,1.0,500,0.5078919159999984,1.0,500,4.039781292000001,0.0,0,3.6202964170000023,1.0,500
100,500,5,F_TruncPareto,F_TruncPareto,Uniform,F_TruncPareto,1.0,500,43811,2,0.0714417499999982,1.0,500,0.4440582909999975,1.0,500,3.3643065839999977,0.0,0,3.0497862080000004,1.0,500
100,500,5,F_TruncPareto,F_TruncPareto,TruncExponential,F_TruncPareto,1.0,500,43921,3,0.07390099999999933,1.0,500,0.43101012500000024,1.0,500,6.567602832999999,0.0,0,2.5823075419999952,1.0,500
100,500,5,F_TruncPareto,F_TruncPareto,TruncPareto,F_TruncPareto,1.0,500,43933,4,0.07147495899999967,1.0,500,0.3972692500000008,1.0,500,6.341784749999995,0.0,0,2.556920957999999,1.0,500
100,500,5,F_TruncPareto,F_TruncExponential,F_TruncPareto,F_TruncPareto,1.0,500,43043,5,0.07126895900000108,1.0,500,0.5546357919999991,1.0,500,4.376497458000003,0.0,0,3.9025694999999985,1.0,500
100,500,5,F_TruncPareto,F_TruncExponential,F_TruncExponential,F_TruncPareto,1.0,500,43675,6,0.0710357909999999,1.0,500,0.5140727920000003,1.0,500,3.0958273329999955,0.0,0,3.6418145830000057,1.0,500
100,500,5,F_TruncPareto,F_TruncExponential,Uniform,F_TruncPareto,1.0,500,44639,7,0.07108541699999193,1.0,500,0.44905704199999263,1.0,500,5.121602250000009,0.0,0,3.0627162500000082,1.0,500
100,500,5,F_TruncPareto,F_TruncExponential,TruncExponential,F_TruncPareto,1.0,500,43621,8,0.07334429200000159,1.0,500,0.403093625000011,1.0,500,4.3013179579999985,0.0,0,2.5818902500000007,1.0,500
100,500,5,F_TruncPareto,F_TruncExponential,TruncPareto,F_TruncPareto,1.0,500,43919,9,0.07036266699999771,1.0,500,0.400314791999989,1.0,500,1.4500153749999924,0.0,0,7.559222292000001,0.0,0
100,500,5,F_TruncPareto,Uniform,F_TruncPareto,F_TruncPareto,1.0,500,44532,10,0.07153766700000119,0.982,491,0.5364257909999992,0.982,491,4.324320999999998,0.01,5,3.8761209589999908,0.984,492
100,500,5,F_TruncPareto,Uniform,F_TruncExponential,F_TruncPareto,1.0,500,43904,11,0.07016854200000466,0.772,386,0.5042316250000027,0.774,387,4.002118374999995,0.182,91,3.562858165999998,0.758,379
100,500,5,F_TruncPareto,Uniform,Uniform,F_TruncPareto,1.0,500,43889,12,0.07025316700000417,0.58,290,0.44072862500000554,0.578,289,4.957071791999994,0.268,134,2.958420208000007,0.584,292
100,500,5,F_TruncPareto,Uniform,TruncExponential,F_TruncPareto,1.0,500,44133,13,0.07058949999999697,0.882,441,0.3964094579999937,0.868,434,6.399555584000012,0.844,422,5.05574104199998,0.836,418
100,500,5,F_TruncPareto,Uniform,TruncPareto,F_TruncPareto,1.0,500,42780,14,0.06971524999997314,0.746,373,0.3853344169999957,0.748,374,3.443680709000006,0.104,52,1.266757124999998,0.748,374
100,500,5,F_TruncPareto,TruncExponential,F_TruncPareto,F_TruncPareto,1.0,500,44845,15,0.07312541600001055,0.114,57,0.5448836250000113,0.114,57,28.977604791999994,0.412,206,3.8709019579999904,0.09,45
100,500,5,F_TruncPareto,TruncExponential,F_TruncExponential,F_TruncPareto,1.0,500,43130,16,0.07072433300001535,0.226,113,0.5020807919999868,0.224,112,3.977379374999998,0.402,201,3.5350835419999953,0.178,89
100,500,5,F_TruncPareto,TruncExponential,Uniform,F_TruncPareto,1.0,500,44126,17,0.07058454199997755,0.022,11,0.43559708300000466,0.02,10,7.359395583000008,0.886,443,2.944473208000005,0.034,17
100,500,5,F_TruncPareto,TruncExponential,TruncExponential,F_TruncPareto,1.0,500,44549,18,0.07012312500000917,0.006,3,0.39778545900000495,0.008,4,5.722858500000001,0.986,493,2.55650670899999,0.004,2
100,500,5,F_TruncPareto,TruncExponential,TruncPareto,F_TruncPareto,1.0,500,42917,19,0.07068433300000265,0.002,1,0.38790420899999845,0.002,1,2.0804987079999933,0.99,495,2.479042750000019,0.0,0
100,500,5,F_TruncPareto,TruncPareto,F_TruncPareto,F_TruncPareto,1.0,500,44801,20,0.07021891700000538,0.0,0,0.5338219159999937,0.0,0,4.354736666999997,0.958,479,3.880014375000002,0.342,171
100,500,5,F_TruncPareto,TruncPareto,F_TruncExponential,F_TruncPareto,1.0,500,43221,21,0.07462754100001234,0.0,0,0.5020840829999997,0.0,0,3.9933344579999925,0.99,495,3.5620153750000156,0.324,162
100,500,5,F_TruncPareto,TruncPareto,Uniform,F_TruncPareto,1.0,500,44521,22,0.07067504200000485,0.0,0,0.43948116699999673,0.0,0,4.162839875000003,0.998,499,2.978593666999984,0.126,63
100,500,5,F_TruncPareto,TruncPareto,TruncExponential,F_TruncPareto,1.0,500,43898,23,0.06981629099999509,0.0,0,0.39546300000000656,0.0,0,6.4130478749999895,1.0,500,2.548847875000007,0.006,3
100,500,5,F_TruncPareto,TruncPareto,TruncPareto,F_TruncPareto,1.0,500,42875,24,0.07052687500001298,0.0,0,0.3883332499999881,0.0,0,67.89943016699999,0.0,0,2.474087708000013,0.0,0
100,500,5,F_TruncExponential,F_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,500,40317,25,0.06980337499999223,1.0,500,0.520284375000017,1.0,500,4.191348250000033,0.0,0,3.738060582999992,1.0,500
100,500,5,F_TruncExponential,F_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,500,39968,26,0.06942370799998798,1.0,500,0.4828583750000348,1.0,500,1.9307926669999915,0.0,0,3.4123008329999607,1.0,500
