n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score,optimal_score,n_claims,iteration_index,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,100,44260,0,3.3143105000000004,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncExponential,1.0,100,43318,1,3.2088938750000002,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,Uniform,1.0,100,44282,2,2.084946499999999,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncExponential,1.0,100,44417,3,2.9811309159999997,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncPareto,1.0,100,43757,4,2.879255292,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,100,43939,5,2.9432079169999987,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncExponential,1.0,100,44462,6,3.1254504999999995,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,Uniform,1.0,100,44116,7,2.995605458,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncExponential,1.0,100,43618,8,2.887377291,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncPareto,1.0,100,44261,9,2.7939524590000033,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncPareto,1.0,100,43728,10,2.786924500000005,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncExponential,1.0,100,43596,11,1.7883126669999996,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,Uniform,Uniform,1.0,100,44249,12,2.532902207999996,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,Uniform,TruncExponential,1.0,100,44201,13,1.5749235830000003,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,Uniform,TruncPareto,1.0,100,43928,14,2.3246006670000057,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,TruncExponential,F_TruncPareto,1.0,100,43847,15,2.203911542,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,TruncExponential,F_TruncExponential,1.0,100,44165,16,2.1568447080000013,0.0,0
500,100,20,F_TruncPareto,F_S_TruncPareto,TruncExponential,Uniform,1.0,100,43414,17,1.9731307499999957,0.0,0
