n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score,optimal_score,n_claims,iteration_index,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score
200,200,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,200,34648,0,2.071071625,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncExponential,1.0,200,34471,1,1.522457958,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,Uniform,1.0,200,34489,2,1.9787786669999994,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncExponential,1.0,200,35237,3,1.4475121669999993,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncPareto,1.0,200,34674,4,1.5661904169999996,0.005,1
200,200,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,200,35469,5,2.1305348750000004,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncExponential,1.0,200,35188,6,1.5313180000000006,0.005,1
200,200,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,Uniform,1.0,200,34580,7,1.470146917000001,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncExponential,1.0,200,34698,8,1.8702981250000015,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncPareto,1.0,200,34480,9,1.893617625000001,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncPareto,1.0,200,34558,10,1.3701255840000002,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncExponential,1.0,200,34625,11,2.2342820000000003,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,Uniform,Uniform,1.0,200,35390,12,2.1925739170000007,0.005,1
200,200,5,F_TruncPareto,F_S_TruncPareto,Uniform,TruncExponential,1.0,200,35449,13,2.1902705000000005,0.01,2
200,200,5,F_TruncPareto,F_S_TruncPareto,Uniform,TruncPareto,1.0,200,35467,14,2.5821726249999983,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,F_TruncPareto,1.0,200,35937,15,1.2410443329999978,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,F_TruncExponential,1.0,200,35490,16,2.0614338749999987,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,Uniform,1.0,200,35107,17,1.968406416999997,0.01,2
200,200,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,TruncExponential,1.0,200,35031,18,2.4429326250000045,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,TruncPareto,1.0,200,35156,19,2.415517874999999,0.0,0
200,200,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,F_TruncPareto,1.0,200,35326,20,1.6124032499999998,0.005,1
200,200,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,F_TruncExponential,1.0,200,35487,21,1.628408708000002,0.0,0
