n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score,optimal_score,n_claims,iteration_index,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,500,43099,0,3.712070542,0.016,8
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncExponential,1.0,500,44226,1,3.754301333,0.014,7
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,Uniform,1.0,500,44088,2,3.4088457499999993,0.044,22
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncExponential,1.0,500,42239,3,3.5075179169999995,0.04,20
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncPareto,1.0,500,43730,4,4.199837959,0.032,16
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,500,44947,5,4.162169584000001,0.054,27
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncExponential,1.0,500,44316,6,4.482638167000001,0.006,3
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,Uniform,1.0,500,43067,7,3.705898708999996,0.02,10
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncExponential,1.0,500,43679,8,4.2512304159999985,0.034,17
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncPareto,1.0,500,44547,9,4.365993416000002,0.008,4
100,500,5,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncPareto,1.0,500,44217,10,3.0578224589999934,0.034,17
100,500,5,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncExponential,1.0,500,43448,11,4.548261541999999,0.018,9
100,500,5,F_TruncPareto,F_S_TruncPareto,Uniform,Uniform,1.0,500,44246,12,3.7494091659999995,0.046,23
100,500,5,F_TruncPareto,F_S_TruncPareto,Uniform,TruncExponential,1.0,500,43381,13,3.743009624999999,0.038,19
100,500,5,F_TruncPareto,F_S_TruncPareto,Uniform,TruncPareto,1.0,500,43410,14,3.2421810420000057,0.016,8
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,F_TruncPareto,1.0,500,44236,15,2.1242038750000063,0.018,9
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,F_TruncExponential,1.0,500,44097,16,3.5179438750000003,0.026,13
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,Uniform,1.0,500,44654,17,7.173138457999997,0.024,12
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,TruncExponential,1.0,500,43019,18,5.567475165999994,0.05,25
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,TruncPareto,1.0,500,44278,19,7.338030833999994,0.02,10
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,F_TruncPareto,1.0,500,44286,20,7.01138354199999,0.026,13
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,F_TruncExponential,1.0,500,43880,21,13.901192749999993,0.022,11
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,Uniform,1.0,500,43186,22,4.907477291999996,0.024,12
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,TruncExponential,1.0,500,44452,23,67.903359916,0.036,18
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,TruncPareto,1.0,500,42288,24,6.188025666000016,0.02,10
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,F_TruncPareto,1.0,500,44127,25,5.29218400000002,1.0,500
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,F_TruncExponential,1.0,500,44284,26,4.100697415999974,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,Uniform,1.0,500,44973,27,3.917472583999995,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,TruncExponential,1.0,500,43995,28,2.882197416999986,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,TruncPareto,1.0,500,44778,29,2.8596040829999936,0.002,1
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,F_TruncPareto,1.0,500,43579,30,3.8012893750000103,0.002,1
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,F_TruncExponential,1.0,500,44706,31,2.824578874999986,0.004,2
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,Uniform,1.0,500,43472,32,3.573525165999996,0.004,2
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,TruncExponential,1.0,500,44750,33,3.5103263750000053,0.006,3
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,TruncPareto,1.0,500,43823,34,3.5836227089999966,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,Uniform,F_TruncPareto,1.0,500,45005,35,4.0672412500000235,0.006,3
100,500,5,F_TruncPareto,F_S_TruncExponential,Uniform,F_TruncExponential,1.0,500,43917,36,3.175386125000017,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,Uniform,Uniform,1.0,500,43910,37,4.011228834000008,0.002,1
100,500,5,F_TruncPareto,F_S_TruncExponential,Uniform,TruncExponential,1.0,500,43915,38,3.889243625000006,0.002,1
100,500,5,F_TruncPareto,F_S_TruncExponential,Uniform,TruncPareto,1.0,500,43815,39,3.932559624999982,0.002,1
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,F_TruncPareto,1.0,500,43623,40,3.5876865420000286,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,F_TruncExponential,1.0,500,42922,41,4.907479707999983,0.002,1
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,Uniform,1.0,500,43836,42,3.5753610829999616,0.002,1
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,TruncExponential,1.0,500,43576,43,5.708975457999998,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,TruncPareto,1.0,500,43845,44,6.385637916999997,0.006,3
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,F_TruncPareto,1.0,500,43284,45,5.555175249999991,0.002,1
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,F_TruncExponential,1.0,500,43826,46,6.27691437499999,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,Uniform,1.0,500,43224,47,5.638712458999976,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,TruncExponential,1.0,500,44310,48,4.2301405000000045,0.004,2
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,TruncPareto,1.0,500,44925,49,66.43687358399995,0.006,3
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncPareto,F_TruncPareto,0.998,499,44420,50,4.401278750000017,0.99,495
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncPareto,F_TruncExponential,0.998,499,42718,51,4.369260541000017,0.976,488
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncPareto,Uniform,0.998,499,44908,52,85.52296662500004,0.0,0
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncPareto,TruncExponential,0.994,497,42496,53,3.27548175000004,0.722,361
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncPareto,TruncPareto,0.998,499,43346,54,3.2319508749999954,0.708,354
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncExponential,F_TruncPareto,1.0,500,43795,55,3.980810915999996,0.992,496
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncExponential,F_TruncExponential,0.998,499,44466,56,4.10594254099999,0.956,478
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncExponential,Uniform,1.0,500,44618,57,4.105188666999993,0.858,429
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncExponential,TruncExponential,1.0,500,44599,58,13.949208124999984,0.794,397
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncExponential,TruncPareto,1.0,500,44145,59,2.9887323750000405,0.804,402
100,500,5,F_TruncPareto,S_TruncExponential,Uniform,F_TruncPareto,0.994,497,43948,60,3.3691801669999677,0.99,495
