n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score,optimal_score,n_claims,iteration_index,Majority_time,Majority_score_perc,Majority_score,TruthFinder_time,TruthFinder_score_perc,TruthFinder_score,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score,ThreeEstimates_time,ThreeEstimates_score_perc,ThreeEstimates_score
200,200,20,F_TruncPareto,F_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,200,35375,0,0.03669149999999988,1.0,200,0.7232089579999998,1.0,200,5.778234416,0.0,0,6.756346500000001,1.0,200
200,200,20,F_TruncPareto,F_TruncPareto,F_TruncPareto,F_TruncExponential,1.0,200,34799,1,0.0398213339999991,1.0,200,0.6971252919999991,1.0,200,5.3178825419999995,0.0,0,6.125258709000001,1.0,200
200,200,20,F_TruncPareto,F_TruncPareto,F_TruncPareto,Uniform,1.0,200,34796,2,0.03693016699999774,1.0,200,0.640552207999999,1.0,200,4.962415082999996,0.0,0,5.737486333,1.0,200
200,200,20,F_TruncPareto,F_TruncPareto,F_TruncPareto,TruncExponential,1.0,200,34802,3,0.036860666999999125,1.0,200,0.6247150000000019,1.0,200,4.541118625000003,0.0,0,5.260565624999998,1.0,200
200,200,20,F_TruncPareto,F_TruncPareto,F_TruncPareto,TruncPareto,1.0,200,34633,4,0.03611416700000092,1.0,200,0.5962291660000005,1.0,200,4.563767250000005,0.0,0,4.266482875000001,1.0,200
200,200,20,F_TruncPareto,F_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,200,35562,5,0.028234333999996863,1.0,200,0.5123488340000009,1.0,200,4.002442083000005,0.0,0,4.648770333000002,1.0,200
200,200,20,F_TruncPareto,F_TruncPareto,F_TruncExponential,F_TruncExponential,1.0,200,34810,6,0.02860579200000757,1.0,200,0.4840769169999959,1.0,200,3.7607748339999887,0.0,0,4.388536958000003,1.0,200
200,200,20,F_TruncPareto,F_TruncPareto,F_TruncExponential,Uniform,1.0,200,35508,7,0.02841204199999936,1.0,200,0.4760512920000082,1.0,200,3.72382537499999,0.0,0,4.289129834000008,1.0,200
200,200,20,F_TruncPareto,F_TruncPareto,F_TruncExponential,TruncExponential,1.0,200,35203,8,0.030148374999996008,1.0,200,0.44122674999999845,1.0,200,3.302191708999999,0.0,0,3.8278857079999966,1.0,200
200,200,20,F_TruncPareto,F_TruncPareto,F_TruncExponential,TruncPareto,1.0,200,35286,9,0.02840370799999903,1.0,200,0.42343416599999273,1.0,200,3.2567493749999983,0.0,0,3.7580554999999976,1.0,200
