n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score,optimal_score,n_claims,iteration_index,Majority_time,Majority_score_perc,Majority_score,TruthFinder_time,TruthFinder_score_perc,TruthFinder_score,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score,ThreeEstimates_time,ThreeEstimates_score_perc,ThreeEstimates_score
100,500,20,F_TruncPareto,F_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,500,43830,0,0.07289083299999999,1.0,500,1.0101241659999998,1.0,500,7.093042458,0.0,0,8.508778125000001,1.0,500
100,500,20,F_TruncPareto,F_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,500,42705,1,0.0706969579999992,1.0,500,0.9716534999999986,1.0,500,6.773532208999999,0.0,0,8.059172250000003,1.0,500
100,500,20,F_TruncPareto,F_TruncPareto,Uniform,F_TruncPareto,1.0,500,44923,2,0.07116883300000154,1.0,500,0.7676459999999992,1.0,500,6.770936624999997,0.0,0,6.033940957999995,1.0,500
100,500,20,F_TruncPareto,F_TruncPareto,TruncExponential,F_TruncPareto,1.0,500,43619,3,0.07205283300000076,1.0,500,0.5497916250000046,1.0,500,3.3533180000000016,0.0,0,4.007521791999999,1.0,500
100,500,20,F_TruncPareto,F_TruncPareto,TruncPareto,F_TruncPareto,1.0,500,43744,4,0.0727689579999975,1.0,500,0.458935541999999,1.0,500,4.363467916000005,0.0,0,3.1429705830000074,1.0,500
100,500,20,F_TruncPareto,F_TruncExponential,F_TruncPareto,F_TruncPareto,1.0,500,44379,5,0.07100650000000996,1.0,500,1.3276764169999922,1.0,500,9.665766540999996,0.0,0,11.464441125000008,1.0,500
100,500,20,F_TruncPareto,F_TruncExponential,F_TruncExponential,F_TruncPareto,1.0,500,42248,6,0.0713149580000021,1.0,500,1.178796124999991,1.0,500,8.506884749999998,0.0,0,9.921062417000002,1.0,500
100,500,20,F_TruncPareto,F_TruncExponential,Uniform,F_TruncPareto,1.0,500,43621,7,0.07293695799999966,1.0,500,0.8700016669999968,1.0,500,5.991250749999992,0.0,0,7.355316416999997,1.0,500
100,500,20,F_TruncPareto,F_TruncExponential,TruncExponential,F_TruncPareto,1.0,500,43955,8,0.0700281669999896,1.0,500,0.5766667910000081,1.0,500,4.975389667000016,0.0,0,4.475757167000012,1.0,500
100,500,20,F_TruncPareto,F_TruncExponential,TruncPareto,F_TruncPareto,1.0,500,44327,9,0.07127845799999477,1.0,500,0.5025042089999943,1.0,500,3.834404625000019,0.0,0,3.322024875000011,1.0,500
100,500,20,F_TruncPareto,Uniform,F_TruncPareto,F_TruncPareto,1.0,500,44359,10,0.07084637500000213,0.998,499,1.5310293750000028,0.998,499,11.603212499999984,0.002,1,20.313996833000004,0.002,1
100,500,20,F_TruncPareto,Uniform,F_TruncExponential,F_TruncPareto,1.0,500,44452,11,0.07147554099998388,0.984,492,1.4087284169999919,0.984,492,10.348988582999993,0.016,8,12.285817624999993,0.32,160
100,500,20,F_TruncPareto,Uniform,Uniform,F_TruncPareto,1.0,500,43127,12,0.07104891599999519,0.916,458,0.9925266669999928,0.918,459,7.051494665999996,0.088,44,8.501723166999994,0.596,298
