n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score,optimal_score,n_claims,iteration_index,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score
100,500,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,500,44739,0,3.857763167,0.03,15
100,500,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncExponential,1.0,500,42509,1,3.277098999999999,0.036,18
100,500,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,Uniform,1.0,500,43818,2,4.412109208,0.038,19
100,500,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncExponential,1.0,500,43213,3,4.296219750000001,0.038,19
100,500,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncPareto,1.0,500,44839,4,3.919934125000001,0.024,12
100,500,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,500,43865,5,3.4794886249999983,0.038,19
100,500,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncExponential,1.0,500,43840,6,3.519622792,0.04,20
100,500,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,Uniform,1.0,500,44670,7,4.818833292000001,1.0,500
100,500,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncExponential,1.0,500,43404,8,3.315463125000001,0.028,14
100,500,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncPareto,1.0,500,44373,9,11.787649416999997,1.0,500
100,500,20,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncPareto,1.0,500,44734,10,3.226371667000002,0.02,10
100,500,20,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncExponential,1.0,500,42910,11,4.178191750000003,0.026,13
100,500,20,F_TruncPareto,F_S_TruncPareto,Uniform,Uniform,1.0,500,43101,12,4.511457292000003,0.014,7
100,500,20,F_TruncPareto,F_S_TruncPareto,Uniform,TruncExponential,1.0,500,43075,13,3.8578691660000004,0.05,25
100,500,20,F_TruncPareto,F_S_TruncPareto,Uniform,TruncPareto,1.0,500,43778,14,4.1365843340000055,0.042,21
100,500,20,F_TruncPareto,F_S_TruncPareto,TruncExponential,F_TruncPareto,1.0,500,44331,15,4.502732167000005,0.024,12
100,500,20,F_TruncPareto,F_S_TruncPareto,TruncExponential,F_TruncExponential,1.0,500,44678,16,2.6357973749999957,0.026,13
100,500,20,F_TruncPareto,F_S_TruncPareto,TruncExponential,Uniform,1.0,500,43767,17,4.265014042000004,0.042,21
100,500,20,F_TruncPareto,F_S_TruncPareto,TruncExponential,TruncExponential,1.0,500,42839,18,3.3459097920000005,0.022,11
100,500,20,F_TruncPareto,F_S_TruncPareto,TruncExponential,TruncPareto,1.0,500,44474,19,3.4931578749999943,0.026,13
100,500,20,F_TruncPareto,F_S_TruncPareto,TruncPareto,F_TruncPareto,1.0,500,42629,20,4.611908458000002,0.022,11
100,500,20,F_TruncPareto,F_S_TruncPareto,TruncPareto,F_TruncExponential,1.0,500,43581,21,3.958370208000005,0.016,8
100,500,20,F_TruncPareto,F_S_TruncPareto,TruncPareto,Uniform,1.0,500,43699,22,4.614489958000007,0.04,20
100,500,20,F_TruncPareto,F_S_TruncPareto,TruncPareto,TruncExponential,1.0,500,44098,23,3.7572067499999946,0.048,24
100,500,20,F_TruncPareto,F_S_TruncPareto,TruncPareto,TruncPareto,1.0,500,43795,24,5.328987542000007,0.032,16
100,500,20,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,F_TruncPareto,1.0,500,42411,25,4.707850124999993,0.002,1
100,500,20,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,F_TruncExponential,1.0,500,44310,26,4.405085541000005,0.004,2
100,500,20,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,Uniform,1.0,500,43983,27,4.590938707999982,0.0,0
100,500,20,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,TruncExponential,1.0,500,43789,28,4.281609416000009,0.008,4
100,500,20,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,TruncPareto,1.0,500,44349,29,4.608613708999997,0.004,2
100,500,20,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,F_TruncPareto,1.0,500,44278,30,6.107999667000001,1.0,500
100,500,20,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,F_TruncExponential,1.0,500,44692,31,6.323342542000006,1.0,500
100,500,20,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,Uniform,1.0,500,42937,32,4.197648208000004,0.008,4
100,500,20,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,TruncExponential,1.0,500,43123,33,5.468893499999979,0.0,0
100,500,20,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,TruncPareto,1.0,500,43085,34,4.119560167000003,0.002,1
100,500,20,F_TruncPareto,F_S_TruncExponential,Uniform,F_TruncPareto,1.0,500,43611,35,3.8044481249999933,0.004,2
100,500,20,F_TruncPareto,F_S_TruncExponential,Uniform,F_TruncExponential,1.0,500,43743,36,3.431344082999999,0.01,5
100,500,20,F_TruncPareto,F_S_TruncExponential,Uniform,Uniform,1.0,500,43968,37,3.752175875000006,0.0,0
100,500,20,F_TruncPareto,F_S_TruncExponential,Uniform,TruncExponential,1.0,500,42959,38,3.700728374999983,0.004,2
100,500,20,F_TruncPareto,F_S_TruncExponential,Uniform,TruncPareto,1.0,500,44341,39,4.683599208999993,0.002,1
100,500,20,F_TruncPareto,F_S_TruncExponential,TruncExponential,F_TruncPareto,1.0,500,43955,40,3.818656249999975,0.004,2
100,500,20,F_TruncPareto,F_S_TruncExponential,TruncExponential,F_TruncExponential,1.0,500,43877,41,3.826988541999981,0.004,2
100,500,20,F_TruncPareto,F_S_TruncExponential,TruncExponential,Uniform,1.0,500,44176,42,3.7809564160000093,0.004,2
100,500,20,F_TruncPareto,F_S_TruncExponential,TruncExponential,TruncExponential,1.0,500,44758,43,3.6716786669999806,0.0,0
100,500,20,F_TruncPareto,F_S_TruncExponential,TruncExponential,TruncPareto,1.0,500,43298,44,3.6413711669999884,0.006,3
100,500,20,F_TruncPareto,F_S_TruncExponential,TruncPareto,F_TruncPareto,1.0,500,43323,45,4.987861667000004,0.002,1
100,500,20,F_TruncPareto,F_S_TruncExponential,TruncPareto,F_TruncExponential,1.0,500,42157,46,3.270249542000016,0.0,0
100,500,20,F_TruncPareto,F_S_TruncExponential,TruncPareto,Uniform,1.0,500,42770,47,4.051405875,0.002,1
100,500,20,F_TruncPareto,F_S_TruncExponential,TruncPareto,TruncExponential,1.0,500,44251,48,4.060954291999991,0.0,0
100,500,20,F_TruncPareto,F_S_TruncExponential,TruncPareto,TruncPareto,1.0,500,44034,49,4.60687412499999,0.006,3
100,500,20,F_TruncPareto,S_TruncExponential,F_TruncPareto,F_TruncPareto,0.996,498,43406,50,16.133864374999973,0.064,32
100,500,20,F_TruncPareto,S_TruncExponential,F_TruncPareto,F_TruncExponential,0.996,498,43733,51,20.00576587500001,0.044,22
100,500,20,F_TruncPareto,S_TruncExponential,F_TruncPareto,Uniform,0.998,499,43357,52,15.081039041999986,0.012,6
100,500,20,F_TruncPareto,S_TruncExponential,F_TruncPareto,TruncExponential,0.996,498,43210,53,10.506966832999979,0.018,9
100,500,20,F_TruncPareto,S_TruncExponential,F_TruncPareto,TruncPareto,0.996,498,44286,54,10.593151917,0.014,7
100,500,20,F_TruncPareto,S_TruncExponential,F_TruncExponential,F_TruncPareto,1.0,500,42817,55,10.752344083000025,0.124,62
100,500,20,F_TruncPareto,S_TruncExponential,F_TruncExponential,F_TruncExponential,0.998,499,43459,56,14.357349416000034,0.112,56
100,500,20,F_TruncPareto,S_TruncExponential,F_TruncExponential,Uniform,0.992,496,45318,57,10.059869957999979,0.004,2
100,500,20,F_TruncPareto,S_TruncExponential,F_TruncExponential,TruncExponential,0.994,497,43975,58,12.842271707999998,0.002,1
100,500,20,F_TruncPareto,S_TruncExponential,F_TruncExponential,TruncPareto,0.996,498,43004,59,9.293990624999992,0.042,21
100,500,20,F_TruncPareto,S_TruncExponential,Uniform,F_TruncPareto,0.998,499,43103,60,7.456567208000024,0.484,242
100,500,20,F_TruncPareto,S_TruncExponential,Uniform,F_TruncExponential,0.996,498,43587,61,7.326198916999999,0.45,225
100,500,20,F_TruncPareto,S_TruncExponential,Uniform,Uniform,1.0,500,42871,62,7.026047707999965,0.334,167
100,500,20,F_TruncPareto,S_TruncExponential,Uniform,TruncExponential,0.998,499,43034,63,6.63014687499998,0.312,156
100,500,20,F_TruncPareto,S_TruncExponential,Uniform,TruncPareto,1.0,500,43294,64,6.748241999999948,0.276,138
100,500,20,F_TruncPareto,S_TruncExponential,TruncExponential,F_TruncPareto,1.0,500,44104,65,3.9011556250000012,0.832,416
100,500,20,F_TruncPareto,S_TruncExponential,TruncExponential,F_TruncExponential,0.998,499,44623,66,3.7839425839999876,0.836,418
100,500,20,F_TruncPareto,S_TruncExponential,TruncExponential,Uniform,1.0,500,44499,67,4.0183835839999915,0.714,357
100,500,20,F_TruncPareto,S_TruncExponential,TruncExponential,TruncExponential,0.998,499,43669,68,2.3907899170000064,0.702,351
100,500,20,F_TruncPareto,S_TruncExponential,TruncExponential,TruncPareto,0.998,499,43815,69,3.875217125000006,0.664,332
100,500,20,F_TruncPareto,S_TruncExponential,TruncPareto,F_TruncPareto,0.998,499,43921,70,3.745107207999979,0.966,483
100,500,20,F_TruncPareto,S_TruncExponential,TruncPareto,F_TruncExponential,0.996,498,44573,71,3.715968041999986,0.944,472
100,500,20,F_TruncPareto,S_TruncExponential,TruncPareto,Uniform,0.998,499,43294,72,2.8180565000000115,0.872,436
100,500,20,F_TruncPareto,S_TruncExponential,TruncPareto,TruncExponential,0.998,499,44667,73,3.7690802919999555,0.848,424
100,500,20,F_TruncPareto,S_TruncExponential,TruncPareto,TruncPareto,1.0,500,43764,74,2.760783207999964,0.866,433
