n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score,optimal_score,n_claims,iteration_index,Majority_time,Majority_score_perc,Majority_score,TruthFinder_time,TruthFinder_score_perc,TruthFinder_score,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score,ThreeEstimates_time,ThreeEstimates_score_perc,ThreeEstimates_score
100,500,20,F_TruncPareto,F_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,500,43358,0,0.07095591700000003,1.0,500,0.8691094999999998,1.0,500,6.215821542,0.0,0,7.309922125,1.0,500
100,500,20,F_TruncPareto,F_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,500,42944,1,0.07303558299999935,1.0,500,0.9295352080000008,1.0,500,6.371190875,0.0,0,7.5663877500000005,1.0,500
100,500,20,F_TruncPareto,F_TruncPareto,Uniform,F_TruncPareto,1.0,500,44184,2,0.07155487500000035,1.0,500,0.7887811669999998,1.0,500,5.308945666999996,0.0,0,6.293255375000001,1.0,500
100,500,20,F_TruncPareto,F_TruncPareto,TruncExponential,F_TruncPareto,1.0,500,43740,3,0.07200333300000494,1.0,500,0.5597917090000024,1.0,500,4.569551292,0.0,0,4.065857541,1.0,500
100,500,20,F_TruncPareto,F_TruncPareto,TruncPareto,F_TruncPareto,1.0,500,44055,4,0.07250449999999375,1.0,500,0.4705545409999985,1.0,500,3.6633682910000047,0.0,0,3.228304666999996,1.0,500
100,500,20,F_TruncPareto,F_TruncExponential,F_TruncPareto,F_TruncPareto,1.0,500,42824,5,0.07249408300000226,1.0,500,1.188594000000002,1.0,500,8.651317584000005,0.0,0,10.235406459000004,1.0,500
100,500,20,F_TruncPareto,F_TruncExponential,F_TruncExponential,F_TruncPareto,1.0,500,43195,6,0.07239116700000636,1.0,500,1.1637809580000038,1.0,500,8.310914333,0.0,0,9.898767208999999,1.0,500
100,500,20,F_TruncPareto,F_TruncExponential,Uniform,F_TruncPareto,1.0,500,44953,7,0.07110329199998944,1.0,500,0.9087253339999961,1.0,500,6.343913375,0.0,0,7.481264832999997,1.0,500
100,500,20,F_TruncPareto,F_TruncExponential,TruncExponential,F_TruncPareto,1.0,500,43893,8,0.07612437500000624,1.0,500,0.5977412090000058,1.0,500,5.069921542000003,0.0,0,4.361268291000002,1.0,500
100,500,20,F_TruncPareto,F_TruncExponential,TruncPareto,F_TruncPareto,1.0,500,44473,9,0.07233762500001717,1.0,500,0.4612431660000027,1.0,500,4.574346666999986,0.0,0,3.383534417000021,1.0,500
