n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score,optimal_score,n_claims,iteration_index,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,500,43663,0,4.394177209,1.0,500
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncExponential,1.0,500,42893,1,3.4880682499999995,0.034,17
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,Uniform,1.0,500,44453,2,3.523284499999999,0.024,12
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncExponential,1.0,500,44605,3,3.583604042000001,0.02,10
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncPareto,1.0,500,42854,4,2.5759444589999987,0.03,15
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,500,44146,5,3.618602666000001,0.02,10
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncExponential,1.0,500,43783,6,6.054041708,0.032,16
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,Uniform,1.0,500,44856,7,86.929314875,1.0,500
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncExponential,1.0,500,42379,8,3.2910103330000027,0.032,16
100,500,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncPareto,1.0,500,43602,9,4.011474415999999,0.062,31
100,500,5,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncPareto,1.0,500,43756,10,3.9422644170000183,0.024,12
100,500,5,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncExponential,1.0,500,44560,11,5.976238332999998,0.06,30
100,500,5,F_TruncPareto,F_S_TruncPareto,Uniform,Uniform,1.0,500,43692,12,3.8170874999999853,0.028,14
100,500,5,F_TruncPareto,F_S_TruncPareto,Uniform,TruncExponential,1.0,500,42966,13,3.837402499999996,0.022,11
100,500,5,F_TruncPareto,F_S_TruncPareto,Uniform,TruncPareto,1.0,500,44123,14,3.8236594580000087,0.022,11
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,F_TruncPareto,1.0,500,42941,15,4.894213624999992,0.076,38
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,F_TruncExponential,1.0,500,44106,16,7.765800374999998,0.028,14
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,Uniform,1.0,500,44342,17,2.859558082999996,0.044,22
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,TruncExponential,1.0,500,43856,18,6.993698416000001,0.042,21
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,TruncPareto,1.0,500,44238,19,2.139696041999997,0.024,12
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,F_TruncPareto,1.0,500,43976,20,5.516244916000005,0.044,22
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,F_TruncExponential,1.0,500,44630,21,5.569917875000016,0.052,26
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,Uniform,1.0,500,44000,22,4.857992292000006,0.03,15
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,TruncExponential,1.0,500,44982,23,5.554017125000001,0.046,23
100,500,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,TruncPareto,1.0,500,44180,24,4.920704708999978,0.018,9
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,F_TruncPareto,1.0,500,43448,25,3.9455202090000228,0.01,5
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,F_TruncExponential,1.0,500,43449,26,3.9364212920000057,0.004,2
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,Uniform,1.0,500,44758,27,10.617391791000017,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,TruncExponential,1.0,500,44248,28,3.9278035830000135,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,TruncPareto,1.0,500,43445,29,3.7178807079999956,0.002,1
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,F_TruncPareto,1.0,500,42766,30,2.9125780829999997,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,F_TruncExponential,1.0,500,43149,31,3.8459205000000054,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,Uniform,1.0,500,43238,32,3.69009116700002,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,TruncExponential,1.0,500,44227,33,3.642700333999983,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,TruncPareto,1.0,500,44101,34,3.5910066250000057,0.002,1
100,500,5,F_TruncPareto,F_S_TruncExponential,Uniform,F_TruncPareto,1.0,500,43212,35,4.059945875000011,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,Uniform,F_TruncExponential,1.0,500,44407,36,4.090421000000049,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,Uniform,Uniform,1.0,500,43063,37,4.076311750000002,0.002,1
100,500,5,F_TruncPareto,F_S_TruncExponential,Uniform,TruncExponential,1.0,500,44934,38,2.443971834000024,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,Uniform,TruncPareto,1.0,500,43001,39,3.9240269579999563,0.002,1
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,F_TruncPareto,1.0,500,43418,40,5.043327625000018,0.006,3
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,F_TruncExponential,1.0,500,43647,41,10.038248958999986,0.002,1
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,Uniform,1.0,500,43161,42,14.777571834000014,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,TruncExponential,1.0,500,43489,43,4.940088000000003,0.014,7
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,TruncPareto,1.0,500,44172,44,7.1104137089999995,0.004,2
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,F_TruncPareto,1.0,500,44120,45,8.41491779200004,0.0,0
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,F_TruncExponential,1.0,500,44616,46,5.632094625000036,0.002,1
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,Uniform,1.0,500,43849,47,2.1468510830000014,0.004,2
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,TruncExponential,1.0,500,44466,48,70.10280262500004,0.004,2
100,500,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,TruncPareto,1.0,500,43873,49,5.658646374999989,0.004,2
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncPareto,F_TruncPareto,1.0,500,44278,50,4.432343542000012,0.996,498
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncPareto,F_TruncExponential,1.0,500,43437,51,4.448634791000018,0.974,487
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncPareto,Uniform,0.998,499,44248,52,4.450326791000009,0.79,395
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncPareto,TruncExponential,0.998,499,45260,53,108.31132416599996,0.0,0
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncPareto,TruncPareto,1.0,500,43926,54,7.512583541999902,0.678,339
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncExponential,F_TruncPareto,0.998,499,43972,55,4.068775374999973,0.998,499
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncExponential,F_TruncExponential,1.0,500,44251,56,4.003361749999954,0.98,490
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncExponential,Uniform,0.998,499,43667,57,3.016947834000007,0.87,435
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncExponential,TruncExponential,0.998,499,41753,58,3.031133250000039,0.762,381
100,500,5,F_TruncPareto,S_TruncExponential,F_TruncExponential,TruncPareto,0.996,498,44208,59,3.0115607090000367,0.784,392
100,500,5,F_TruncPareto,S_TruncExponential,Uniform,F_TruncPareto,1.0,500,43773,60,4.0867785830000685,0.998,499
100,500,5,F_TruncPareto,S_TruncExponential,Uniform,F_TruncExponential,1.0,500,43450,61,2.538543249999975,0.99,495
100,500,5,F_TruncPareto,S_TruncExponential,Uniform,Uniform,1.0,500,44880,62,3.3305530830000407,0.948,474
100,500,5,F_TruncPareto,S_TruncExponential,Uniform,TruncExponential,0.998,499,44052,63,2.5118792499999927,0.918,459
100,500,5,F_TruncPareto,S_TruncExponential,Uniform,TruncPareto,0.998,499,43789,64,3.4493961249999074,0.88,440
100,500,5,F_TruncPareto,S_TruncExponential,TruncExponential,F_TruncPareto,0.998,499,43713,65,6.916614125000024,0.996,498
100,500,5,F_TruncPareto,S_TruncExponential,TruncExponential,F_TruncExponential,0.998,499,43246,66,7.732416208000018,0.998,499
100,500,5,F_TruncPareto,S_TruncExponential,TruncExponential,Uniform,1.0,500,43401,67,5.909244624999928,0.994,497
100,500,5,F_TruncPareto,S_TruncExponential,TruncExponential,TruncExponential,0.998,499,44016,68,12.999978041999952,0.982,491
100,500,5,F_TruncPareto,S_TruncExponential,TruncExponential,TruncPareto,1.0,500,44280,69,5.779568832999985,0.982,491
100,500,5,F_TruncPareto,S_TruncExponential,TruncPareto,F_TruncPareto,0.998,499,44571,70,15.405824458999973,0.998,499
100,500,5,F_TruncPareto,S_TruncExponential,TruncPareto,F_TruncExponential,1.0,500,43984,71,6.329591250000021,1.0,500
100,500,5,F_TruncPareto,S_TruncExponential,TruncPareto,Uniform,0.996,498,44414,72,6.259180792000052,0.996,498
100,500,5,F_TruncPareto,S_TruncExponential,TruncPareto,TruncExponential,0.998,499,43665,73,6.339603583000098,0.994,497
100,500,5,F_TruncPareto,S_TruncExponential,TruncPareto,TruncPareto,0.994,497,43356,74,5.611464124999998,0.992,496
