n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score,optimal_score,n_claims,iteration_index,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,100,43545,0,1.860111667,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncExponential,1.0,100,44177,1,1.8769704589999998,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,Uniform,1.0,100,43738,2,1.8255609170000007,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncExponential,1.0,100,44005,3,2.463244083,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncPareto,1.0,100,44020,4,2.022644916000001,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,100,43382,5,2.043396583,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncExponential,1.0,100,44004,6,1.9697700000000005,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,Uniform,1.0,100,43999,7,2.6452343749999976,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncExponential,1.0,100,44055,8,2.693697457999999,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncPareto,1.0,100,43481,9,2.544901124999999,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncPareto,1.0,100,44066,10,3.133054583,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncExponential,1.0,100,43702,11,3.0308027499999994,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,Uniform,Uniform,1.0,100,43796,12,3.1464154589999964,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,Uniform,TruncExponential,1.0,100,43897,13,3.1868065409999957,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,Uniform,TruncPareto,1.0,100,43868,14,2.4567265829999982,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,F_TruncPareto,1.0,100,43616,15,4.247853082999995,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,F_TruncExponential,1.0,100,43973,16,3.0588033750000037,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,Uniform,1.0,100,43884,17,4.015816125000001,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,TruncExponential,1.0,100,43624,18,4.072754416999999,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,TruncExponential,TruncPareto,1.0,100,43906,19,3.561631999999996,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,F_TruncPareto,1.0,100,43984,20,2.7877724169999993,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,F_TruncExponential,1.0,100,44423,21,1.8159482920000016,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,Uniform,1.0,100,44087,22,3.6122145000000074,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,TruncExponential,1.0,100,43473,23,3.348227958999999,0.0,0
500,100,5,F_TruncPareto,F_S_TruncPareto,TruncPareto,TruncPareto,1.0,100,44240,24,2.435537958000012,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,F_TruncPareto,1.0,100,43750,25,2.8972077079999963,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,F_TruncExponential,1.0,100,44211,26,2.001911665999998,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,Uniform,1.0,100,43421,27,2.042810750000001,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,TruncExponential,1.0,100,43750,28,2.093066042000004,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,F_TruncPareto,TruncPareto,1.0,100,44148,29,2.08204708400001,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,F_TruncPareto,1.0,100,43731,30,2.4957540420000015,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,F_TruncExponential,1.0,100,43946,31,1.9343417500000015,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,Uniform,1.0,100,43707,32,1.9218518340000088,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,TruncExponential,1.0,100,44396,33,2.5430674999999923,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,F_TruncExponential,TruncPareto,1.0,100,44458,34,1.940083040999994,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,Uniform,F_TruncPareto,1.0,100,44015,35,2.3615422910000063,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,Uniform,F_TruncExponential,1.0,100,44073,36,2.383653332999998,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,Uniform,Uniform,1.0,100,43899,37,3.235744374999996,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,Uniform,TruncExponential,1.0,100,43667,38,3.0096155410000023,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,Uniform,TruncPareto,1.0,100,44318,39,3.0825752499999908,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,F_TruncPareto,1.0,100,43833,40,3.2045120420000046,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,F_TruncExponential,1.0,100,43727,41,2.8444091249999985,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,Uniform,1.0,100,43770,42,3.6353364590000012,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,TruncExponential,1.0,100,44097,43,3.493325583000015,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,TruncExponential,TruncPareto,1.0,100,44164,44,2.8588829580000095,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,F_TruncPareto,1.0,100,44662,45,5.11560216700002,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,F_TruncExponential,1.0,100,43875,46,4.59538254200001,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,Uniform,1.0,100,44265,47,3.3934203340000124,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,TruncExponential,1.0,100,43477,48,2.8180945409999936,0.0,0
500,100,5,F_TruncPareto,F_S_TruncExponential,TruncPareto,TruncPareto,1.0,100,44145,49,4.566332541999998,0.0,0
500,100,5,F_TruncPareto,S_TruncExponential,F_TruncPareto,F_TruncPareto,1.0,100,44251,50,2.621995874999982,0.99,99
500,100,5,F_TruncPareto,S_TruncExponential,F_TruncPareto,F_TruncExponential,1.0,100,43843,51,1.9856739169999855,0.94,94
500,100,5,F_TruncPareto,S_TruncExponential,F_TruncPareto,Uniform,1.0,100,44097,52,2.5600802080000165,0.78,78
