n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score,optimal_score,n_claims,iteration_index,Majority_time,Majority_score_perc,Majority_score,TruthFinder_time,TruthFinder_score_perc,TruthFinder_score,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score,ThreeEstimates_time,ThreeEstimates_score_perc,ThreeEstimates_score
100,500,5,F_TruncPareto,F_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,500,43878,0,0.07472229100000005,1.0,500,0.5722704160000001,1.0,500,4.252838208,0.0,0,3.7681323340000006,1.0,500
100,500,5,F_TruncPareto,F_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,500,44433,1,0.07014245799999941,1.0,500,0.496561625,1.0,500,4.160099208,0.0,0,3.630398291999999,1.0,500
100,500,5,F_TruncPareto,F_TruncPareto,Uniform,F_TruncPareto,1.0,500,43003,2,0.07128691699999834,1.0,500,0.456437042000001,1.0,500,2.511003958,0.0,0,3.250663792000001,1.0,500
100,500,5,F_TruncPareto,F_TruncPareto,TruncExponential,F_TruncPareto,1.0,500,44638,3,0.07475370899999945,1.0,500,0.4229785419999992,1.0,500,6.563568291999996,0.0,0,2.6283664999999985,1.0,500
100,500,5,F_TruncPareto,F_TruncPareto,TruncPareto,F_TruncPareto,1.0,500,42475,4,0.07058683300000013,1.0,500,0.39780837499999677,1.0,500,3.5588079159999992,0.0,0,2.5375092909999992,1.0,500
100,500,5,F_TruncPareto,F_TruncExponential,F_TruncPareto,F_TruncPareto,1.0,500,42834,5,0.07196662499999462,1.0,500,0.5443970840000034,1.0,500,4.423723084000002,0.0,0,3.976342625000001,1.0,500
100,500,5,F_TruncPareto,F_TruncExponential,F_TruncExponential,F_TruncPareto,1.0,500,43843,6,0.07197441600000332,1.0,500,0.5148104169999996,1.0,500,3.075980166000001,0.0,0,3.6491299999999995,1.0,500
100,500,5,F_TruncPareto,F_TruncExponential,Uniform,F_TruncPareto,1.0,500,43843,7,0.07243629099999538,1.0,500,0.45023362500000275,1.0,500,4.2780728750000065,0.0,0,3.047850000000011,1.0,500
100,500,5,F_TruncPareto,F_TruncExponential,TruncExponential,F_TruncPareto,1.0,500,43768,8,0.07254945799999746,1.0,500,0.4038081660000046,1.0,500,4.382929042000001,0.0,0,2.6435337079999925,1.0,500
100,500,5,F_TruncPareto,F_TruncExponential,TruncPareto,F_TruncPareto,1.0,500,42505,9,0.07244791599998734,1.0,500,0.4467806250000024,1.0,500,5.45796320800001,0.0,0,3.8429952079999907,1.0,500
